Run 14989
Subrun 399
Event 3990012
Cluster 0
11.1376 0.15 16.55
11.1376 2.55 16.55
11.1376 2.55 21.05
11.6004 0.15 16.55
11.6004 2.55 16.55
11.6004 2.55 21.05
12.0439 2.55 21.05
12.121 2.85 21.05
11.9282 2.85 21.05
11.7161 0.45 16.55
11.7161 2.85 21.05
14.8783 5.55 25.55
5.31456 -1.65 16.55
17.6163 8.25 30.05
13.5478 1.95 21.05
13.5478 4.35 25.55
13.1622 2.25 21.95
13.1622 4.65 26.45
13.3743 1.95 21.65
13.3743 4.35 26.15
12.9694 1.35 22.85
12.9694 3.75 27.35
9.74935 -1.05 18.35
9.74935 1.35 18.35
11.8318 -1.05 18.35
11.8318 1.35 22.85
10.617 -1.05 18.35
10.617 1.35 18.35
10.617 1.35 22.85
15.9773 4.05 27.35
15.9773 6.45 31.85
13.3165 1.65 22.85
13.3165 4.05 27.35
16.0737 6.75 31.85
10.5013 -0.15 18.35
10.5013 2.25 18.35
10.5013 2.25 22.85
9.63366 1.05 18.35
9.63366 3.45 18.35
9.96145 1.05 18.35
9.96145 3.45 18.35
15.476 3.75 26.45
18.1754 6.45 30.95
10.2892 -0.15 17.45
10.2892 2.25 17.45
9.383 0.45 17.45
9.383 2.85 17.45
8.99737 0.45 17.45
8.99737 2.85 17.45
12.3138 3.15 21.95
11.4654 0.75 17.45
11.4654 3.15 17.45
11.4654 3.15 21.95
10.0386 0.75 17.45
10.0386 3.15 17.45
12.7187 3.45 21.95
12.5452 3.45 21.95
5.60379 -1.35 17.45
18.0212 6.15 30.65
6.10511 -2.85 17.15
10.2121 -0.45 17.15
10.2121 1.95 17.15
9.36372 -0.15 17.15
9.36372 2.25 17.15
5.73876 -2.55 17.15
10.2507 -0.15 17.15
10.2507 2.25 17.15
8.72742 0.15 17.15
8.72742 2.55 17.15
10.0964 0.15 17.15
10.0964 2.55 17.15
9.42156 0.15 17.15
9.42156 2.55 17.15
9.96145 0.45 17.15
9.96145 2.85 17.15
9.19018 0.45 17.15
9.19018 2.85 17.15
11.3497 0.45 17.15
11.3497 2.85 17.15
11.3497 2.85 21.65
12.5259 3.15 21.65
12.256 3.15 21.65
15.2446 5.85 26.15
8.24538 -2.85 16.25
8.24538 -0.45 16.25
8.24538 1.95 16.25
8.28394 -0.45 16.25
8.28394 1.95 16.25
12.2174 2.25 20.75
8.6503 -0.15 16.25
8.6503 2.25 16.25
8.90096 -0.15 16.25
8.90096 2.25 16.25
11.0027 -0.15 16.25
11.0027 2.25 16.25
11.0027 2.25 20.75
12.1788 2.55 20.75
11.4461 0.15 16.25
11.4461 2.55 16.25
11.4461 2.55 20.75
11.0027 0.15 16.25
11.0027 2.55 16.25
11.0027 2.55 20.75
11.7161 0.15 16.25
11.7161 2.55 20.75
9.34444 0.15 16.25
9.34444 2.55 16.25
11.9282 2.55 20.75
14.6276 5.25 25.25
11.7932 0.45 16.25
11.7932 2.85 20.75
17.4042 7.95 29.75
9.383 1.05 16.25
9.383 3.45 16.25
8.14897 -3.15 15.95
8.14897 -0.75 15.95
8.14897 1.65 15.95
9.11306 -0.15 15.95
9.11306 2.25 15.95
10.887 -0.15 15.95
10.887 2.25 15.95
10.887 2.25 20.45
11.1376 -0.15 15.95
11.1376 2.25 15.95
11.1376 2.25 20.45
12.7573 2.55 20.45
11.8125 0.15 15.95
11.8125 2.55 20.45
14.3962 4.95 24.95
14.5505 5.25 24.95
12.0053 2.85 20.45
11.6197 0.45 15.95
11.6197 2.85 15.95
11.6197 2.85 20.45
9.44084 0.75 15.95
9.44084 3.15 15.95
17.2885 7.95 29.45
9.51797 0.45 15.35
9.51797 2.85 15.35
16.9993 7.65 28.85
9.47941 0.15 15.35
9.47941 2.55 15.35
11.2148 0.15 15.35
11.2148 2.55 15.35
11.2148 2.55 19.85
14.2227 4.95 24.35
16.8643 7.35 28.85
12.4874 2.25 19.85
9.73007 -0.15 15.35
9.73007 2.25 15.35
14.0492 4.65 24.35
10.6942 -0.45 15.35
10.6942 1.95 15.35
10.6942 1.95 19.85
8.78527 -0.45 15.35
8.78527 1.95 15.35
8.24538 -2.85 15.35
8.24538 -0.45 15.35
8.24538 1.95 15.35
9.26731 -0.75 15.35
9.26731 1.65 15.35
7.93687 -3.45 15.35
7.93687 -1.05 15.35
9.42156 0.45 15.65
9.42156 2.85 15.65
17.0957 7.65 29.15
11.4654 0.45 15.65
11.4654 2.85 15.65
11.4654 2.85 20.15
14.3384 4.95 24.65
12.9115 2.25 20.15
12.9115 4.65 24.65
11.6582 -0.15 15.65
11.6582 2.25 20.15
10.9834 -0.15 15.65
10.9834 2.25 15.65
10.9834 2.25 20.15
9.05521 -0.15 15.65
9.05521 2.25 15.65
13.2008 1.95 20.15
13.2008 4.35 24.65
13.3743 1.95 20.15
13.3743 4.35 24.65
10.7327 -0.45 15.65
10.7327 1.95 15.65
10.7327 1.95 20.15
8.36107 -0.45 15.65
8.36107 1.95 15.65
13.5286 1.65 20.15
13.5286 4.05 24.65
9.5951 -0.75 15.65
9.5951 1.65 15.65
7.99472 -3.45 15.65
7.99472 -1.05 15.65
Cluster 2
6.25937 -10.95 41.15
6.08583 -10.95 45.05
5.43025 -11.25 43.85
5.31456 -11.25 43.55
5.60379 -10.95 44.45
6.10511 -12.45 44.15
5.73876 -12.15 44.15
5.19887 -11.25 43.25
Run 14989
Subrun 399
Event 3990013
Cluster 0
1.70889 -3.75 28.25
1.40038 -3.75 28.25
1.86314 -3.75 28.55
1.51607 -3.75 28.55
1.45823 -3.75 27.65
1.53535 -3.75 27.95
1.41966 -3.75 27.95
1.40038 -3.75 31.55
1.8053 -3.75 31.55
1.57392 -3.75 31.55
1.55463 -3.75 31.25
1.36182 -5.25 30.35
1.45823 -3.75 30.35
1.43894 -3.75 30.05
1.65104 -3.75 30.05
1.82458 -3.75 30.05
1.05331 -3.75 30.05
-0.0264648 -5.85 30.05
0.166352 -5.85 30.05
0.899056 -3.75 29.75
1.07259 -3.75 29.75
0.686958 -5.55 29.75
-0.0264648 -5.85 29.75
0.417014 -5.85 29.75
0.956901 -3.75 28.25
1.13044 -3.75 28.25
0.783366 -3.75 28.25
-0.0264648 -5.85 28.25
0.802648 -3.75 27.95
1.14972 -3.75 27.95
0.976183 -3.75 27.95
0.0120986 -5.85 31.55
0.841211 -3.75 31.55
0.629113 -3.75 31.55
1.01475 -3.75 31.55
0.0699436 -5.85 31.85
0.956901 -3.75 31.85
1.3811 -5.85 30.95
-0.0457465 -5.85 30.95
1.55463 -5.55 30.95
1.65104 -5.25 30.95
1.74745 -4.95 30.95
1.86314 -4.65 30.95
-0.0264648 -5.85 31.25
0.204915 -5.85 30.65
-0.0457465 -5.85 30.65
0.918338 -3.75 29.45
-0.0457465 -3.75 29.45
-0.00718311 -5.85 29.45
0.339887 -5.85 29.45
1.13044 -3.75 29.15
0.860493 -3.75 29.15
-0.00718311 -5.85 29.15
1.11115 -3.75 28.85
0.956901 -3.75 28.85
0.0120986 -5.85 28.85
0.185634 -5.85 28.85
0.93762 -3.75 28.55
0.0120986 -5.85 28.55
0.359169 -5.85 28.55
0.185634 -5.85 28.55
0.995465 -3.75 27.65
1.13044 -3.75 27.65
1.36182 -3.75 31.85
1.40038 -3.75 30.95
1.5932 -3.75 30.95
1.82458 -3.75 30.95
1.41966 -3.75 30.65
1.5932 -3.75 30.65
1.82458 -3.75 30.65
1.67032 -3.75 29.75
1.30397 -3.75 29.75
1.41966 -3.75 29.75
0.860493 -5.25 29.45
1.47751 -3.75 29.45
1.30397 -3.75 29.45
1.67032 -3.75 29.45
1.49679 -3.75 28.85
1.70889 -3.75 28.85
1.49679 -3.75 29.15
1.86314 -3.75 29.15
1.70889 -3.75 29.15
Cluster 1
1.70889 1.05 32.75
1.70889 1.05 41.75
1.70889 1.05 37.25
1.40038 1.05 32.75
1.40038 1.05 50.75
1.40038 1.05 46.25
1.40038 1.05 41.75
1.40038 1.05 37.25
6.02799 -3.75 41.75
2.69225 0.75 19.25
2.69225 0.75 14.75
8.76599 -1.95 77.75
8.76599 0.45 46.25
8.76599 0.45 50.75
8.76599 -1.95 55.25
8.76599 -1.95 73.25
8.76599 -1.95 59.75
8.76599 -1.95 64.25
8.76599 -1.95 68.75
8.76599 -1.95 82.25
7.45483 -7.05 77.75
7.45483 0.15 23.75
7.57052 -7.05 77.75
7.57052 0.15 23.75
7.84046 -7.65 77.75
7.84046 -0.45 23.75
7.84046 -0.45 32.75
8.24538 -8.25 77.75
8.24538 -1.05 32.75
8.24538 -1.05 37.25
8.24538 -1.05 41.75
8.24538 -3.45 77.75
1.86314 1.05 33.05
1.86314 1.05 37.55
1.86314 1.05 28.55
1.51607 1.05 33.05
1.51607 1.05 46.55
1.51607 1.05 42.05
1.51607 1.05 37.55
2.51872 0.75 33.05
2.51872 0.75 28.55
2.51872 0.75 24.05
2.51872 0.75 19.55
2.51872 0.75 15.05
7.03063 -6.45 78.05
8.72742 0.45 42.05
8.72742 -1.95 78.05
8.72742 0.45 46.55
8.72742 0.45 51.05
8.72742 -1.95 55.55
8.72742 -1.95 73.55
8.72742 -1.95 60.05
8.72742 -1.95 64.55
8.72742 -1.95 69.05
8.72742 -1.95 82.55
7.41627 -7.05 78.05
7.41627 0.15 24.05
8.18753 -7.65 78.05
8.18753 -0.45 33.05
8.18753 -0.45 37.55
8.18753 -0.45 42.05
1.45823 1.05 32.15
1.45823 1.05 45.65
1.45823 1.05 41.15
1.45823 1.05 36.65
2.42231 0.75 32.15
2.42231 0.75 27.65
2.42231 0.75 23.15
2.42231 0.75 18.65
2.42231 0.75 14.15
8.53461 -6.45 77.15
8.53461 0.75 36.65
8.53461 0.75 41.15
8.53461 -1.65 77.15
8.53461 0.75 45.65
8.53461 0.75 50.15
8.53461 -1.65 54.65
8.53461 -1.65 72.65
7.33914 -6.75 77.15
7.33914 0.45 23.15
7.57052 -7.05 77.15
7.57052 0.15 23.15
2.13308 0.15 32.15
2.13308 0.15 27.65
2.13308 0.15 23.15
8.41891 -7.95 77.15
8.41891 -0.75 32.15
8.41891 -0.75 36.65
8.41891 -0.75 41.15
8.41891 -3.15 77.15
8.41891 -0.75 45.65
8.28394 -8.25 77.15
8.28394 -1.05 32.15
8.28394 -1.05 36.65
8.28394 -1.05 41.15
8.28394 -3.45 77.15
1.53535 1.05 32.45
1.53535 1.05 45.95
1.53535 1.05 41.45
1.53535 1.05 36.95
1.41966 1.05 32.45
1.41966 1.05 50.45
1.41966 1.05 45.95
1.41966 1.05 41.45
1.41966 1.05 36.95
1.97883 1.05 32.45
1.97883 1.05 36.95
1.97883 1.05 27.95
2.34518 0.75 32.45
2.34518 0.75 27.95
2.34518 0.75 23.45
2.34518 0.75 18.95
2.67297 0.75 18.95
2.67297 0.75 14.45
7.3777 -6.75 77.45
7.3777 0.45 23.45
7.14632 -6.75 77.45
7.5898 -7.05 77.45
7.5898 0.15 23.45
7.04991 -7.05 77.45
2.24877 0.15 32.45
2.24877 0.15 27.95
2.24877 0.15 23.45
2.24877 0.15 18.95
7.84046 -7.35 77.45
7.84046 -0.15 23.45
7.84046 -0.15 32.45
8.24538 -8.25 77.45
8.24538 -1.05 32.45
8.24538 -1.05 36.95
8.24538 -1.05 41.45
8.24538 -3.45 77.45
7.95615 -7.95 81.05
7.95615 -0.75 27.05
7.95615 -0.75 36.05
7.95615 -0.75 40.55
8.32251 -7.95 81.05
8.32251 -0.75 36.05
8.32251 -0.75 40.55
8.32251 -0.75 45.05
8.32251 -3.15 81.05
4.5433 -0.45 18.05
8.11041 -7.65 81.05
8.11041 -0.45 27.05
8.11041 -0.45 36.05
8.11041 -0.45 40.55
8.11041 -0.45 45.05
7.55124 -7.35 81.05
7.55124 -0.15 27.05
8.72742 -0.15 45.05
8.72742 -2.55 81.05
8.72742 -0.15 49.55
8.72742 -0.15 54.05
8.72742 -2.55 58.55
8.72742 -2.55 76.55
8.72742 -2.55 63.05
8.72742 -2.55 67.55
8.72742 -2.55 72.05
8.72742 -2.55 85.55
8.24538 -7.35 81.05
8.24538 -0.15 36.05
8.24538 -0.15 40.55
8.24538 -0.15 45.05
8.24538 -2.55 81.05
7.97544 -7.35 81.05
7.97544 -0.15 27.05
7.97544 -0.15 36.05
7.97544 -0.15 40.55
8.80455 -2.25 81.05
8.80455 0.15 49.55
8.80455 0.15 54.05
8.80455 -2.25 58.55
8.80455 -2.25 76.55
8.80455 -2.25 63.05
8.80455 -2.25 67.55
8.80455 -2.25 72.05
8.80455 -2.25 85.55
7.26201 -6.75 81.05
7.26201 0.45 27.05
2.80794 0.45 22.55
2.80794 0.45 18.05
2.42231 0.75 36.05
2.42231 0.75 31.55
2.42231 0.75 27.05
2.42231 0.75 22.55
2.42231 0.75 18.05
1.40038 1.05 36.05
1.40038 1.05 54.05
1.40038 1.05 49.55
1.40038 1.05 45.05
1.40038 1.05 40.55
1.8053 1.05 36.05
1.8053 1.05 45.05
1.8053 1.05 40.55
1.57392 1.05 36.05
1.57392 1.05 49.55
1.57392 1.05 45.05
1.57392 1.05 40.55
2.38375 1.05 36.05
2.38375 1.05 31.55
2.38375 1.05 27.05
2.38375 1.05 22.55
2.38375 1.05 18.05
8.45748 -7.95 80.75
8.45748 -0.75 35.75
8.45748 -0.75 40.25
8.45748 -0.75 44.75
8.45748 -3.15 80.75
8.45748 -0.75 49.25
8.45748 -0.75 53.75
8.45748 -3.15 58.25
4.69755 -0.45 17.75
4.75539 -0.15 17.75
7.91759 -7.35 80.75
7.91759 -0.15 26.75
7.91759 -0.15 35.75
8.82383 -2.25 80.75
8.82383 0.15 49.25
8.82383 0.15 53.75
8.82383 -2.25 58.25
8.82383 -2.25 76.25
8.82383 -2.25 62.75
8.82383 -2.25 67.25
8.82383 -2.25 71.75
8.82383 -2.25 85.25
7.24273 -6.75 80.75
7.24273 0.45 26.75
2.71153 0.45 22.25
2.71153 0.45 17.75
2.63441 0.75 26.75
2.63441 0.75 22.25
2.63441 0.75 17.75
2.46087 0.75 35.75
2.46087 0.75 31.25
2.46087 0.75 26.75
2.46087 0.75 22.25
2.46087 0.75 17.75
8.55389 -6.45 80.75
8.55389 0.75 40.25
8.55389 0.75 44.75
8.55389 -1.65 80.75
8.55389 0.75 49.25
8.55389 0.75 53.75
8.55389 -1.65 58.25
8.55389 -1.65 76.25
1.55463 1.05 35.75
1.55463 1.05 49.25
1.55463 1.05 44.75
1.55463 1.05 40.25
2.01739 1.05 35.75
2.01739 1.05 31.25
8.38035 -7.95 79.85
8.38035 -0.75 34.85
8.38035 -0.75 39.35
8.38035 -0.75 43.85
8.38035 -3.15 79.85
8.38035 -0.75 48.35
8.11041 -7.65 79.85
8.11041 -0.45 25.85
8.11041 -0.45 34.85
8.11041 -0.45 39.35
8.11041 -0.45 43.85
1.36182 -0.45 34.85
1.36182 -0.45 52.85
1.36182 -0.45 48.35
1.36182 -0.45 43.85
5.35313 -0.15 16.85
7.64765 -7.35 79.85
7.64765 -0.15 25.85
8.88168 -2.25 79.85
8.88168 0.15 48.35
8.88168 0.15 52.85
8.88168 -2.25 57.35
8.88168 -2.25 75.35
8.88168 -2.25 61.85
8.88168 -2.25 66.35
8.88168 -2.25 70.85
8.88168 -2.25 84.35
7.68621 -7.05 79.85
7.68621 0.15 25.85
7.51268 -7.05 79.85
7.51268 0.15 25.85
7.24273 -6.75 79.85
7.24273 0.45 25.85
2.46087 0.75 34.85
2.46087 0.75 30.35
2.46087 0.75 25.85
2.46087 0.75 21.35
2.46087 0.75 16.85
2.26806 0.75 34.85
2.26806 0.75 30.35
2.26806 0.75 25.85
2.26806 0.75 21.35
1.45823 1.05 34.85
1.45823 1.05 48.35
1.45823 1.05 43.85
1.45823 1.05 39.35
8.34179 -6.15 79.85
8.34179 1.05 34.85
8.34179 1.05 39.35
8.34179 1.05 43.85
8.34179 -1.35 79.85
8.34179 1.05 48.35
6.91494 -6.15 79.85
8.11041 -7.65 79.55
8.11041 -0.45 25.55
8.11041 -0.45 34.55
8.11041 -0.45 39.05
8.11041 -0.45 43.55
8.26466 -7.65 79.55
8.26466 -0.45 34.55
8.26466 -0.45 39.05
8.26466 -0.45 43.55
8.26466 -2.85 79.55
7.72477 -7.05 79.55
7.72477 0.15 25.55
8.93952 -2.25 79.55
8.93952 0.15 52.55
8.93952 -2.25 57.05
8.93952 -2.25 75.05
8.93952 -2.25 61.55
8.93952 -2.25 66.05
8.93952 -2.25 70.55
8.93952 -2.25 84.05
7.26201 -6.75 79.55
7.26201 0.45 25.55
8.66958 -6.75 79.55
8.66958 0.45 39.05
8.66958 0.45 43.55
8.66958 -1.95 79.55
8.66958 0.45 48.05
8.66958 0.45 52.55
8.66958 -1.95 57.05
8.66958 -1.95 75.05
8.66958 -1.95 61.55
8.66958 -1.95 66.05
8.66958 -1.95 70.55
8.66958 -1.95 84.05
2.49944 0.75 34.55
2.49944 0.75 30.05
2.49944 0.75 25.55
2.49944 0.75 21.05
2.49944 0.75 16.55
2.28734 0.75 34.55
2.28734 0.75 30.05
2.28734 0.75 25.55
2.28734 0.75 21.05
1.43894 1.05 34.55
1.43894 1.05 52.55
1.43894 1.05 48.05
1.43894 1.05 43.55
1.43894 1.05 39.05
1.65104 1.05 34.55
1.65104 1.05 43.55
1.65104 1.05 39.05
6.93422 -6.15 79.55
1.82458 1.05 34.55
1.82458 1.05 39.05
1.82458 1.05 30.05
8.36107 -6.15 79.55
8.36107 1.05 34.55
8.36107 1.05 39.05
8.36107 1.05 43.55
8.36107 -1.35 79.55
8.36107 1.05 48.05
1.05331 1.05 61.55
1.05331 1.05 57.05
1.05331 1.05 34.55
1.05331 1.05 52.55
8.78527 -1.35 79.55
8.78527 1.05 48.05
8.78527 1.05 52.55
8.78527 -1.35 57.05
8.78527 -1.35 75.05
8.78527 -1.35 61.55
8.78527 -1.35 66.05
8.78527 -1.35 70.55
8.78527 -1.35 84.05
7.12704 -6.45 79.55
8.84311 -1.65 79.55
8.84311 0.75 48.05
8.84311 0.75 52.55
8.84311 -1.65 57.05
8.84311 -1.65 75.05
8.84311 -1.65 61.55
8.84311 -1.65 66.05
8.84311 -1.65 70.55
8.84311 -1.65 84.05
6.12439 -4.95 43.55
4.89037 -0.75 16.55
-0.0264648 -1.05 79.55
-0.0264648 1.35 79.55
-0.0264648 1.35 84.05
-0.0264648 1.35 75.05
0.166352 -1.05 79.55
0.166352 1.35 79.55
0.166352 1.35 84.05
0.166352 1.35 75.05
0.166352 1.35 70.55
8.78527 -1.35 79.25
8.78527 1.05 47.75
8.78527 1.05 52.25
8.78527 -1.35 56.75
8.78527 -1.35 74.75
8.78527 -1.35 61.25
8.78527 -1.35 65.75
8.78527 -1.35 70.25
8.78527 -1.35 83.75
7.16561 -6.15 79.25
0.899056 1.05 65.75
0.899056 1.05 61.25
0.899056 1.05 56.75
0.899056 1.05 34.25
0.899056 1.05 52.25
1.07259 1.05 61.25
1.07259 1.05 56.75
1.07259 1.05 34.25
1.07259 1.05 52.25
1.07259 1.05 47.75
-1.00983 0.75 79.25
8.88168 -1.95 79.25
8.88168 0.45 47.75
8.88168 0.45 52.25
8.88168 -1.95 56.75
8.88168 -1.95 74.75
8.88168 -1.95 61.25
8.88168 -1.95 65.75
8.88168 -1.95 70.25
8.88168 -1.95 83.75
5.77732 -4.65 43.25
6.18224 -5.25 43.25
4.50473 -0.45 16.25
0.686958 1.65 79.25
0.686958 1.65 70.25
0.686958 1.65 65.75
0.686958 -0.75 65.75
0.686958 -0.75 61.25
0.686958 -0.75 56.75
-0.0264648 -1.05 79.25
-0.0264648 1.35 79.25
-0.0264648 1.35 83.75
-0.0264648 1.35 74.75
0.417014 -1.05 79.25
0.417014 1.35 79.25
0.417014 1.35 74.75
0.417014 1.35 70.25
0.417014 1.35 65.75
0.417014 -1.05 65.75
-1.49187 1.05 77.75
8.78527 -1.35 77.75
8.78527 1.05 46.25
8.78527 1.05 50.75
8.78527 -1.35 55.25
8.78527 -1.35 73.25
8.78527 -1.35 59.75
8.78527 -1.35 64.25
8.78527 -1.35 68.75
8.78527 -1.35 82.25
0.956901 1.05 59.75
0.956901 1.05 55.25
0.956901 1.05 32.75
0.956901 1.05 50.75
1.13044 1.05 55.25
1.13044 1.05 32.75
1.13044 1.05 50.75
1.13044 1.05 46.25
0.783366 1.05 64.25
0.783366 1.05 59.75
0.783366 1.05 55.25
0.783366 1.05 32.75
8.84311 -1.65 77.75
8.84311 0.75 46.25
8.84311 0.75 50.75
8.84311 -1.65 55.25
8.84311 -1.65 73.25
8.84311 -1.65 59.75
8.84311 -1.65 64.25
8.84311 -1.65 68.75
8.84311 -1.65 82.25
8.92024 -1.95 77.75
8.92024 0.45 50.75
8.92024 -1.95 55.25
8.92024 -1.95 73.25
8.92024 -1.95 59.75
8.92024 -1.95 64.25
8.92024 -1.95 68.75
8.92024 -1.95 82.25
5.9123 -4.65 41.75
6.27865 -5.25 41.75
4.65899 -0.45 14.75
2.13308 -1.05 32.75
2.13308 -1.05 28.25
2.13308 -1.05 23.75
-0.0264648 -1.05 77.75
-0.0264648 1.35 77.75
-0.0264648 1.35 82.25
-0.0264648 1.35 73.25
8.76599 -1.35 77.45
8.76599 1.05 45.95
8.76599 1.05 50.45
8.76599 -1.35 54.95
8.76599 -1.35 72.95
8.76599 -1.35 59.45
8.76599 -1.35 63.95
8.76599 -1.35 68.45
8.76599 -1.35 81.95
0.802648 1.05 63.95
0.802648 1.05 59.45
0.802648 1.05 54.95
0.802648 1.05 32.45
1.14972 1.05 54.95
1.14972 1.05 32.45
1.14972 1.05 50.45
1.14972 1.05 45.95
0.976183 1.05 59.45
0.976183 1.05 54.95
0.976183 1.05 32.45
0.976183 1.05 50.45
8.88168 -1.65 77.45
8.88168 0.75 45.95
8.88168 0.75 50.45
8.88168 -1.65 54.95
8.88168 -1.65 72.95
8.88168 -1.65 59.45
8.88168 -1.65 63.95
8.88168 -1.65 68.45
8.88168 -1.65 81.95
8.90096 -1.95 77.45
8.90096 0.45 45.95
8.90096 0.45 50.45
8.90096 -1.95 54.95
8.90096 -1.95 72.95
8.90096 -1.95 59.45
8.90096 -1.95 63.95
8.90096 -1.95 68.45
8.90096 -1.95 81.95
5.95086 -4.65 41.45
6.31721 -5.25 41.45
4.69755 -0.45 14.45
2.30662 -1.05 32.45
2.30662 -1.05 27.95
2.30662 -1.05 23.45
2.30662 -1.05 18.95
2.88507 -1.05 18.05
0.0120986 -1.05 81.05
0.0120986 1.35 81.05
0.0120986 1.35 85.55
0.0120986 1.35 76.55
4.75539 -0.75 18.05
8.4382 -7.95 81.05
8.4382 -0.75 36.05
8.4382 -0.75 40.55
8.4382 -0.75 45.05
8.4382 -3.15 81.05
8.4382 -0.75 49.55
6.0087 -4.95 45.05
8.88168 -1.65 81.05
8.88168 0.75 49.55
8.88168 0.75 54.05
8.88168 -1.65 58.55
8.88168 -1.65 76.55
8.88168 -1.65 63.05
8.88168 -1.65 67.55
8.88168 -1.65 72.05
